employee_index,user_id,user_role,department,experience_level,task_type,AI_tool_used,hours_worked_per_week,time_saved_per_week,satisfaction_score,performance_improvement_pct,usage_frequency,country,remote_status
1,U0001,Marketing Specialist,Marketing,Junior,Email Drafting,Copilot,42.9,6.7,3,15.4,Daily,USA,Remote
2,U0002,Developer,Tech,Mid,Code Review,Copilot,39.7,11.0,5,24.4,Daily,USA,Hybrid
3,U0003,Financial Analyst,Finance,Senior,Email Drafting,Copilot,41.0,13.2,7,28.7,Daily,Japan,Office
4,U0004,Developer,Tech,Junior,Coding Help,Notion AI,39.3,9.1,4,18.0,Weekly,USA,Remote
5,U0005,Financial Analyst,Finance,Mid,Forecasting,Gemini,40.5,8.6,6,18.8,Weekly,Japan,Office
6,U0006,Developer,Tech,Mid,Documentation,Copilot,35.2,9.0,4,22.3,Daily,USA,Remote
7,U0007,HR Specialist,HR,Senior,Report Writing,Copilot,39.3,10.2,6,21.0,Daily,Japan,Hybrid
8,U0008,Manager,Management,Junior,Report Writing,ChatGPT,45.0,9.2,5,24.8,Weekly,UK,Hybrid
9,U0009,Data Analyst,Tech,Mid,Report Writing,ChatGPT,43.9,13.8,7,35.2,Daily,USA,Office
10,U0010,Developer,Tech,Senior,Bug Fixing,Copilot,42.4,14.2,7,32.2,Daily,India,Hybrid
11,U0011,Data Analyst,Tech,Mid,Data Analysis,ChatGPT,38.0,3.0,2,3.1,Daily,UK,Hybrid
12,U0012,Designer,Marketing,Mid,Ideation,Copilot,49.5,8.2,4,22.1,Daily,India,Hybrid
13,U0013,Data Analyst,Tech,Mid,Report Writing,Gemini,53.3,5.6,4,15.5,Weekly,USA,Remote
14,U0014,Manager,Management,Junior,Strategy,Other,35.6,7.3,3,21.4,Daily,Canada,Hybrid
15,U0015,Financial Analyst,Finance,Junior,Report Writing,ChatGPT,47.2,8.1,4,24.4,Weekly,Australia,Office
16,U0016,Data Analyst,Tech,Junior,Data Analysis,ChatGPT,39.2,11.2,6,27.7,Weekly,USA,Remote
17,U0017,Marketing Specialist,Marketing,Mid,Market Research,Gemini,46.4,6.4,4,17.4,Daily,USA,Remote
18,U0018,Developer,Tech,Mid,Coding Help,Copilot,43.1,11.4,6,29.3,Weekly,USA,Remote
19,U0019,Marketing Specialist,Marketing,Senior,Ideation,Gemini,40.9,10.5,6,29.5,Weekly,USA,Hybrid
20,U0020,Marketing Specialist,Marketing,Junior,Market Research,ChatGPT,39.3,8.0,4,21.5,Daily,USA,Hybrid
21,U0021,Developer,Tech,Mid,Bug Fixing,ChatGPT,52.1,6.7,3,15.8,Daily,USA,Remote
22,U0022,Developer,Tech,Mid,Coding Help,ChatGPT,40.3,6.3,3,17.9,Weekly,Japan,Hybrid
23,U0023,HR Specialist,HR,Mid,Job Description Writing,ChatGPT,42.9,7.9,4,22.2,Daily,India,Office
24,U0024,Developer,Tech,Mid,Code Review,ChatGPT,51.2,12.7,6,27.4,Weekly,Japan,Office
25,U0025,Data Analyst,Tech,Senior,Report Writing,Gemini,42.6,8.1,5,19.8,Daily,USA,Hybrid
26,U0026,Financial Analyst,Finance,Mid,Report Writing,Gemini,41.1,9.5,5,22.7,Daily,USA,Office
27,U0027,Developer,Tech,Mid,Bug Fixing,Copilot,46.5,10.4,6,23.5,Daily,USA,Hybrid
28,U0028,Marketing Specialist,Marketing,Mid,Ideation,Gemini,42.2,6.1,4,16.5,Daily,Japan,Remote
29,U0029,Manager,Management,Junior,Scheduling,ChatGPT,37.8,11.7,6,34.1,Daily,India,Office
30,U0030,Marketing Specialist,Marketing,Mid,Email Drafting,Notion AI,40.0,5.2,3,11.4,Daily,Germany,Hybrid
31,U0031,Marketing Specialist,Marketing,Mid,Email Drafting,Gemini,39.1,11.1,8,22.7,Daily,Canada,Hybrid
32,U0032,Developer,Tech,Mid,Coding Help,Gemini,40.7,9.9,6,23.0,Daily,USA,Remote
33,U0033,Developer,Tech,Mid,Code Review,Copilot,44.5,5.3,3,13.0,Weekly,UK,Hybrid
34,U0034,Data Analyst,Tech,Junior,Visualization,Other,47.1,5.9,2,17.8,Daily,Germany,Office
35,U0035,Financial Analyst,Finance,Mid,Forecasting,Gemini,43.1,6.7,4,12.1,Daily,USA,Office
36,U0036,Financial Analyst,Finance,Mid,Forecasting,Notion AI,43.7,9.8,4,23.7,Weekly,Japan,Hybrid
37,U0037,HR Specialist,HR,Mid,Policy Q&A,Gemini,41.1,7.4,4,23.4,Daily,UK,Office
38,U0038,Developer,Tech,Mid,Coding Help,Copilot,36.3,6.5,3,13.6,Occasional,USA,Remote
39,U0039,Data Analyst,Tech,Mid,Query Generation,Gemini,40.2,10.2,7,24.1,Weekly,Germany,Hybrid
40,U0040,Developer,Tech,Mid,Coding Help,Gemini,39.8,5.1,3,11.7,Weekly,Japan,Office
41,U0041,Developer,Tech,Junior,Bug Fixing,Gemini,41.0,6.6,4,19.4,Weekly,India,Remote
42,U0042,Developer,Tech,Senior,Bug Fixing,Copilot,46.3,11.8,5,29.2,Daily,Japan,Remote
43,U0043,Developer,Tech,Mid,Code Review,Copilot,44.5,9.2,5,23.0,Weekly,USA,Remote
44,U0044,HR Specialist,HR,Junior,Policy Q&A,Gemini,46.8,12.2,7,30.9,Daily,India,Hybrid
45,U0045,Marketing Specialist,Marketing,Mid,Market Research,Gemini,37.4,5.8,6,10.5,Weekly,USA,Hybrid
46,U0046,Financial Analyst,Finance,Mid,Forecasting,ChatGPT,32.7,9.2,5,23.4,Daily,Japan,Remote
47,U0047,Data Analyst,Tech,Mid,Visualization,Copilot,40.5,6.8,3,17.6,Daily,India,Office
48,U0048,Financial Analyst,Finance,Mid,Data Analysis,Gemini,41.9,9.5,5,24.5,Occasional,Japan,Office
49,U0049,Data Analyst,Tech,Senior,Query Generation,Notion AI,46.3,12.5,7,29.6,Daily,Germany,Hybrid
50,U0050,Data Analyst,Tech,Junior,Data Analysis,Gemini,36.8,5.8,4,12.6,Weekly,Germany,Hybrid
51,U0051,Developer,Tech,Junior,Code Review,Copilot,39.6,11.1,6,28.3,Weekly,USA,Hybrid
52,U0052,Manager,Management,Mid,Report Writing,ChatGPT,43.7,8.7,5,22.2,Daily,Germany,Hybrid
53,U0053,Marketing Specialist,Marketing,Mid,Ideation,Notion AI,35.1,8.0,4,14.4,Weekly,Australia,Hybrid
54,U0054,Financial Analyst,Finance,Mid,Data Analysis,Copilot,38.8,4.8,2,16.3,Daily,Australia,Hybrid
55,U0055,Developer,Tech,Junior,Coding Help,ChatGPT,45.4,5.7,3,14.6,Weekly,Germany,Office
56,U0056,Developer,Tech,Mid,Code Review,Copilot,40.8,8.8,4,20.5,Daily,USA,Hybrid
57,U0057,HR Specialist,HR,Junior,Job Description Writing,ChatGPT,41.1,8.2,4,18.5,Daily,Japan,Hybrid
58,U0058,Manager,Management,Senior,Scheduling,Gemini,36.2,8.1,4,21.7,Daily,USA,Hybrid
59,U0059,Financial Analyst,Finance,Senior,Report Writing,ChatGPT,37.9,10.0,5,19.0,Weekly,Germany,Hybrid
60,U0060,Developer,Tech,Mid,Documentation,Copilot,43.1,8.9,4,21.9,Daily,USA,Remote
61,U0061,Manager,Management,Senior,Strategy,Notion AI,41.0,7.8,4,18.2,Weekly,USA,Hybrid
62,U0062,HR Specialist,HR,Senior,Email Drafting,Gemini,35.6,14.4,9,42.6,Daily,India,Office
63,U0063,Developer,Tech,Mid,Coding Help,Copilot,44.9,7.3,4,15.5,Daily,UK,Remote
64,U0064,Financial Analyst,Finance,Senior,Email Drafting,Gemini,48.1,8.0,4,19.7,Occasional,India,Office
65,U0065,Manager,Management,Junior,Strategy,Gemini,36.5,2.9,3,1.8,Occasional,USA,Hybrid
66,U0066,Designer,Marketing,Mid,Image Generation,ChatGPT,49.2,9.9,5,25.9,Weekly,Germany,Hybrid
67,U0067,Developer,Tech,Junior,Documentation,Gemini,44.0,7.1,4,16.5,Weekly,Japan,Hybrid
68,U0068,HR Specialist,HR,Mid,Report Writing,Notion AI,41.2,4.2,2,16.4,Occasional,Japan,Hybrid
69,U0069,Developer,Tech,Mid,Documentation,Gemini,44.6,7.8,5,22.6,Daily,Germany,Remote
70,U0070,Financial Analyst,Finance,Mid,Data Analysis,Gemini,38.6,8.1,5,17.5,Daily,USA,Office
71,U0071,Financial Analyst,Finance,Mid,Report Writing,Gemini,44.3,8.6,7,22.5,Weekly,USA,Office
72,U0072,HR Specialist,HR,Mid,Report Writing,Gemini,39.8,9.1,6,23.6,Daily,USA,Office
73,U0073,Designer,Marketing,Mid,Copywriting,Notion AI,39.3,8.8,7,24.2,Daily,Japan,Remote
74,U0074,Marketing Specialist,Marketing,Junior,Market Research,Other,43.9,8.0,2,21.3,Weekly,UK,Hybrid
75,U0075,Developer,Tech,Mid,Code Review,Copilot,33.8,9.3,5,27.5,Daily,USA,Remote
76,U0076,Marketing Specialist,Marketing,Mid,Market Research,Gemini,40.0,8.1,5,26.2,Daily,Japan,Remote
77,U0077,Data Analyst,Tech,Junior,Query Generation,Copilot,43.9,8.0,4,19.1,Daily,Australia,Hybrid
78,U0078,Designer,Marketing,Mid,Image Generation,Notion AI,39.0,7.1,7,21.2,Daily,India,Hybrid
79,U0079,Data Analyst,Tech,Mid,Data Analysis,Gemini,44.3,8.2,5,23.0,Daily,USA,Hybrid
80,U0080,Marketing Specialist,Marketing,Mid,Ideation,Other,34.6,10.6,4,21.8,Daily,Germany,Hybrid
81,U0081,Data Analyst,Tech,Mid,Query Generation,Gemini,51.6,9.3,6,20.3,Daily,Japan,Remote
82,U0082,Marketing Specialist,Marketing,Senior,Market Research,ChatGPT,38.1,9.1,4,21.1,Daily,India,Remote
83,U0083,Developer,Tech,Senior,Bug Fixing,Copilot,46.7,15.2,7,38.3,Daily,USA,Remote
84,U0084,Developer,Tech,Junior,Code Review,Copilot,40.2,10.3,6,20.3,Weekly,India,Remote
