employee_index,user_id,user_role,department,experience_level,task_type,AI_tool_used,hours_worked_per_week,time_saved_per_week,satisfaction_score,performance_improvement_pct,usage_frequency,country,remote_status,predicted_time_saved
1,U0001,Marketing Specialist,Marketing,Junior,Email Drafting,Copilot,42.9,6.7,3,15.4,Daily,USA,Remote,6.160014398073731
2,U0002,Developer,Tech,Mid,Code Review,Copilot,39.7,11.0,5,24.4,Daily,USA,Hybrid,9.480747537602612
3,U0003,Financial Analyst,Finance,Senior,Email Drafting,Copilot,41.0,13.2,7,28.7,Daily,Japan,Office,11.805204519268129
4,U0004,Developer,Tech,Junior,Coding Help,Notion AI,39.3,9.1,4,18.0,Weekly,USA,Remote,7.367306710120477
5,U0005,Financial Analyst,Finance,Mid,Forecasting,Gemini,40.5,8.6,6,18.8,Weekly,Japan,Office,8.772965472716729
6,U0006,Developer,Tech,Mid,Documentation,Copilot,35.2,9.0,4,22.3,Daily,USA,Remote,8.390228053417612
7,U0007,HR Specialist,HR,Senior,Report Writing,Copilot,39.3,10.2,6,21.0,Daily,Japan,Hybrid,9.406829363031575
8,U0008,Manager,Management,Junior,Report Writing,ChatGPT,45.0,9.2,5,24.8,Weekly,UK,Hybrid,9.555490776205888
9,U0009,Data Analyst,Tech,Mid,Report Writing,ChatGPT,43.9,13.8,7,35.2,Daily,USA,Office,13.20318783374766
10,U0010,Developer,Tech,Senior,Bug Fixing,Copilot,42.4,14.2,7,32.2,Daily,India,Hybrid,12.62261431430035
11,U0011,Data Analyst,Tech,Mid,Data Analysis,ChatGPT,38.0,3.0,2,3.1,Daily,UK,Hybrid,2.706004249195237
12,U0012,Designer,Marketing,Mid,Ideation,Copilot,49.5,8.2,4,22.1,Daily,India,Hybrid,8.343518922272914
13,U0013,Data Analyst,Tech,Mid,Report Writing,Gemini,53.3,5.6,4,15.5,Weekly,USA,Remote,6.802117594497869
14,U0014,Manager,Management,Junior,Strategy,Other,35.6,7.3,3,21.4,Daily,Canada,Hybrid,7.56128833241468
15,U0015,Financial Analyst,Finance,Junior,Report Writing,ChatGPT,47.2,8.1,4,24.4,Weekly,Australia,Office,8.861998906750824
16,U0016,Data Analyst,Tech,Junior,Data Analysis,ChatGPT,39.2,11.2,6,27.7,Weekly,USA,Remote,10.832846784969682
17,U0017,Marketing Specialist,Marketing,Mid,Market Research,Gemini,46.4,6.4,4,17.4,Daily,USA,Remote,7.245854340372503
18,U0018,Developer,Tech,Mid,Coding Help,Copilot,43.1,11.4,6,29.3,Weekly,USA,Remote,11.22519485781339
19,U0019,Marketing Specialist,Marketing,Senior,Ideation,Gemini,40.9,10.5,6,29.5,Weekly,USA,Hybrid,11.391967436681254
20,U0020,Marketing Specialist,Marketing,Junior,Market Research,ChatGPT,39.3,8.0,4,21.5,Daily,USA,Hybrid,8.184716505152698
21,U0021,Developer,Tech,Mid,Bug Fixing,ChatGPT,52.1,6.7,3,15.8,Daily,USA,Remote,6.2721076840492485
22,U0022,Developer,Tech,Mid,Coding Help,ChatGPT,40.3,6.3,3,17.9,Weekly,Japan,Hybrid,6.7625535610685805
23,U0023,HR Specialist,HR,Mid,Job Description Writing,ChatGPT,42.9,7.9,4,22.2,Daily,India,Office,8.366873487845263
24,U0024,Developer,Tech,Mid,Code Review,ChatGPT,51.2,12.7,6,27.4,Weekly,Japan,Office,10.781458111938756
25,U0025,Data Analyst,Tech,Senior,Report Writing,Gemini,42.6,8.1,5,19.8,Daily,USA,Hybrid,8.526500968997716
26,U0026,Financial Analyst,Finance,Mid,Report Writing,Gemini,41.1,9.5,5,22.7,Daily,USA,Office,9.083719922872676
27,U0027,Developer,Tech,Mid,Bug Fixing,Copilot,46.5,10.4,6,23.5,Daily,USA,Hybrid,9.87063005461714
28,U0028,Marketing Specialist,Marketing,Mid,Ideation,Gemini,42.2,6.1,4,16.5,Daily,Japan,Remote,7.0356632502213605
29,U0029,Manager,Management,Junior,Scheduling,ChatGPT,37.8,11.7,6,34.1,Daily,India,Office,12.327538981600028
30,U0030,Marketing Specialist,Marketing,Mid,Email Drafting,Notion AI,40.0,5.2,3,11.4,Daily,Germany,Hybrid,5.244506798865885
31,U0031,Marketing Specialist,Marketing,Mid,Email Drafting,Gemini,39.1,11.1,8,22.7,Daily,Canada,Hybrid,10.883940744369683
32,U0032,Developer,Tech,Mid,Coding Help,Gemini,40.7,9.9,6,23.0,Daily,USA,Remote,9.753857226755393
33,U0033,Developer,Tech,Mid,Code Review,Copilot,44.5,5.3,3,13.0,Weekly,UK,Hybrid,5.6181798480234715
34,U0034,Data Analyst,Tech,Junior,Visualization,Other,47.1,5.9,2,17.8,Daily,Germany,Office,6.120450364644442
35,U0035,Financial Analyst,Finance,Mid,Forecasting,Gemini,43.1,6.7,4,12.1,Daily,USA,Office,6.008062365037997
36,U0036,Financial Analyst,Finance,Mid,Forecasting,Notion AI,43.7,9.8,4,23.7,Weekly,Japan,Hybrid,8.7171919714305
37,U0037,HR Specialist,HR,Mid,Policy Q&A,Gemini,41.1,7.4,4,23.4,Daily,UK,Office,8.647128274713452
38,U0038,Developer,Tech,Mid,Coding Help,Copilot,36.3,6.5,3,13.6,Occasional,USA,Remote,5.758307241457567
39,U0039,Data Analyst,Tech,Mid,Query Generation,Gemini,40.2,10.2,7,24.1,Weekly,Germany,Hybrid,10.610831055216902
40,U0040,Developer,Tech,Mid,Coding Help,Gemini,39.8,5.1,3,11.7,Weekly,Japan,Office,5.314570495582933
41,U0041,Developer,Tech,Junior,Bug Fixing,Gemini,41.0,6.6,4,19.4,Weekly,India,Remote,7.694270628133365
42,U0042,Developer,Tech,Senior,Bug Fixing,Copilot,46.3,11.8,5,29.2,Daily,Japan,Remote,10.721830132798537
